name,iata,icao,count,passenger_capacity
Embraer 175,E75,\N,88,
Embraer 175 (long wing),E7W,E75L,88,
Embraer 190,E90,E190,114,
Embraer 195,E95,E195,122,
Embraer E190-E2,290,E290,114,
Embraer E195-E2,295,E295,146,
Embraer EMB 110 Bandeirante,EMB,E110,19,
Embraer EMB 120 Brasilia,EM2,E120,30,
Embraer Legacy 600,ER3,E35L,13,
Embraer Phenom 100,EP1,E50P,6,
Embraer Phenom 300,EP3,E55P,11,
Embraer RJ140,ERD,E135,44,
Embraer RJ145,ER4,E145,50,
Fairchild Dornier 328JET,FRJ,J328,32,
Fairchild Dornier Do.228,D28,D228,19,
Fairchild Dornier Do.328,D38,D328,32,
Fokker 100,100,F100,109,
Fokker 50,F50,F50,58,
Fokker 70,F70,F70,79,
Fokker F27 Friendship,F27,F27,48,
Fokker F28 Fellowship,F21,F28,85,
Gulfstream Aerospace G-159 Gulfstream I,GRS,G159,10,
Gulfstream G280,GR3,G280,10,
Gulfstream G650,GJ6,GLF6,18,
Gulfstream IV,GJ4,GLF4,19,
Gulfstream V,GJ5,GLF5,19,
Gulfstream/Rockwell (Aero) Commander,ACP,AC68,6,
Gulfstream/Rockwell (Aero) Turbo Commander,ACT,AC90,9,
Harbin Yunshuji Y12,YN2,Y12,17,
Hawker Siddeley HS 748,HS7,A748,58,
Ilyushin IL114,I14,I114,64,
Ilyushin IL18,IL8,IL18,120,
Ilyushin IL62,IL6,IL62,186,
Ilyushin IL76,IL7,IL76,0,
Ilyushin IL86,ILW,IL86,350,
Ilyushin IL96,I93,IL96,262,
Learjet 35,LRJ,LJ35,8,
Lockheed L-1011 Tristar,L10,L101,400,
Lockheed L-1049 Super Constellation,L49,CONI,95,
Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH,C130,92,
Lockheed L-188 Electra,LOE,L188,99,
McDonnell Douglas MD-11,M11,MD11,410,
McDonnell Douglas MD-81,M81,MD81,172,
McDonnell Douglas MD-82,M82,MD82,172,
McDonnell Douglas MD-83,M83,MD83,172,
McDonnell Douglas MD-87,M87,MD87,139,
McDonnell Douglas MD-88,M88,MD88,172,
McDonnell Douglas MD-90,M90,MD90,172,
NAMC YS-11,YS1,YS11,64,
Partenavia P.68,PN6,P68,6,
Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS,18,
Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P,9,
Pilatus PC-12,PL2,PC12,9,
Pilatus PC-6 Turbo Porter,PL6,PC6T,10,
Piper PA-31 Navajo,PA2,PA31,7,
Piper PA-46,PAG,PA46,6,
Saab 2000,S20,SB20,50,
Saab SF340A/B,SF3,SF34,34,
Shorts SC-5 Belfast,SHB,BELF,0,
Shorts SC-7 Skyvan,SHS,SC7,19,
Shorts SD.330,SH3,SH33,30,
Shorts SD.360,SH6,SH36,39,
Sikorsky S-58T,S58,S58T,12,
Sikorsky S-61,S61,S61,30,
Sikorsky S-76,S76,S76,13,
Sikorsky S-92,S92,S92,19,
Sukhoi Superjet 100-95,SU9,SU95,98,
Tupolev Tu-134,TU3,T134,84,
Tupolev Tu-154,TU5,T154,180,
Tupolev Tu-204,T20,T204,214,
Yakovlev Yak-40,YK4,YK40,32,
Yakovlev Yak-42,YK2,YK42,120,
