,name,city,country,region,iso,iata,icao,lat,lon
3393,Chongqing Jiangbei International Airport,Chongqing,China,East Asia & Pacific,CHN,CKG,ZUCK,29.719200134277344,106.64199829101562
3394,Longdongbao Airport,Guiyang,China,East Asia & Pacific,CHN,KWE,ZUGY,26.53849983215332,106.8010025024414
3395,Chengdu Shuangliu International Airport,Chengdu,China,East Asia & Pacific,CHN,CTU,ZUUU,30.578500747680664,103.9469985961914
3396,Xichang Qingshan Airport,Xichang,China,East Asia & Pacific,CHN,XIC,ZUXC,27.989099502563477,102.18399810791016
3397,Kashgar Airport,Kashi,China,East Asia & Pacific,CHN,KHG,ZWSH,39.5429000854,76.0199966431
3398,Hotan Airport,Hotan,China,East Asia & Pacific,CHN,HTN,ZWTN,37.03850173950195,79.86489868164062
3399,Ürümqi Diwopu International Airport,Urumqi,China,East Asia & Pacific,CHN,URC,ZWWW,43.907100677490234,87.47419738769531
3400,Taiping Airport,Harbin,China,East Asia & Pacific,CHN,HRB,ZYHB,45.6234016418457,126.25
3402,Mudanjiang Hailang International Airport,Mudanjiang,China,East Asia & Pacific,CHN,MDG,ZYMD,44.5241012573,129.569000244
3404,Zhoushuizi Airport,Dalian,China,East Asia & Pacific,CHN,DLC,ZYTL,38.9656982421875,121.53900146484375
3406,Shanghai Pudong International Airport,Shanghai,China,East Asia & Pacific,CHN,PVG,ZSPD,31.143400192260746,121.80500030517578
3408,Sultan Abdul Aziz Shah International Airport,Kuala Lumpur,Malaysia,East Asia & Pacific,MYS,SZB,WMSA,3.130579948425293,101.54900360107422
3409,Noto Airport,Wajima,Japan,East Asia & Pacific,JPN,NTQ,RJNW,37.2930984497,136.962005615
3410,Borg El Arab International Airport,Alexandria,Egypt,Middle East & North Africa,EGY,HBE,HEBA,30.917699813842773,29.696399688720703
3411,Barter Island LRRS Airport,Barter Island,United States,North America,USA,BTI,PABA,70.1340026855,-143.582000732
3414,Point Lay LRRS Airport,Point Lay,United States,North America,USA,PIZ,PPIZ,69.73290253,-163.0050049
3415,Hilo International Airport,Hilo,United States,North America,USA,ITO,PHTO,19.721399307250977,-155.04800415039062
3417,Bettles Airport,Bettles,United States,North America,USA,BTT,PABT,66.91390228,-151.529007
3420,Fort Yukon Airport,Fort Yukon,United States,North America,USA,FYU,PFYU,66.57150268554688,-145.25
3426,St Paul Island Airport,St. Paul Island,United States,North America,USA,SNP,PASN,57.16730117797851,-170.22000122070312
3428,St George Airport,Point Barrow,United States,North America,USA,STG,PAPB,56.5783004761,-169.662002563
3429,Iliamna Airport,Iliamna,United States,North America,USA,ILI,PAIL,59.75439835,-154.9109955
3437,Fort Smith Regional Airport,Fort Smith,United States,North America,USA,FSM,KFSM,35.33660125732422,-94.36740112304688
3442,Grand Forks International Airport,Grand Forks,United States,North America,USA,GFK,KGFK,47.949299,-97.176102
3445,Hana Airport,Hana,United States,North America,USA,HNM,PHHN,20.79560089111328,-156.01400756835938
3446,Ernest A. Love Field,Prescott,United States,North America,USA,PRC,KPRC,34.65449905,-112.4199982
3447,Trenton Mercer Airport,Trenton,United States,North America,USA,TTN,KTTN,40.27669906616211,-74.8134994506836
3448,General Edward Lawrence Logan International Airport,Boston,United States,North America,USA,BOS,KBOS,42.36429977,-71.00520325
3453,Metropolitan Oakland International Airport,Oakland,United States,North America,USA,OAK,KOAK,37.721298,-122.221001
3454,Eppley Airfield,Omaha,United States,North America,USA,OMA,KOMA,41.3032,-95.894096
3456,Kahului Airport,Kahului,United States,North America,USA,OGG,PHOG,20.8986,-156.429993
